Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
5,(1/(1 + exp(-x))) - (-x),(1/(1 + exp(-x))),x1 - x2,(-x),0.9972849488258362,0.6466000080108643
5,asinh(x) - exp(-x^2),asinh(x),x1 - x2,exp(-x^2),0.8775880932807922,0.6859999895095825
5,abs(x) / ((-x) + err),abs(x),x1 / (x2 + err),(-x),2.3031461238861084,0.10000000149011612
5,exp(-x^2) / (log(abs(x + err)) + err),exp(-x^2),x1 / (x2 + err),log(abs(x + err)),nan,0.10000000149011612
5,sin(x) - log(1 + exp(x)),sin(x),x1 - x2,log(1 + exp(x)),1.2106698751449585,0.5641999840736389
5,"max(x, 0) + erf(x)","max(x, 0)",x1 + x2,erf(x),0.8264158368110657,0.7053999900817871
5,cosh(x) - log(1 + exp(x)),cosh(x),x1 - x2,log(1 + exp(x)),nan,0.10000000149011612
6,sinc(x) + x,sinc(x),x1 + x2,x,nan,0.10000000149011612
6,erf(x) - (1/(1 + exp(-x))),erf(x),x1 - x2,(1/(1 + exp(-x))),0.9919005036354065,0.6582000255584717
6,sinc(x) * exp(-x^2),sinc(x),x1 * x2,exp(-x^2),nan,0.10000000149011612
6,"max(x, tanh(x))",x,"max(x1, x2)",tanh(x),0.8524394631385803,0.699400007724762
6,erf(x) / (exp(x) + err),erf(x),x1 / (x2 + err),exp(x),nan,0.10000000149011612
6,tanh(x) + x**3,tanh(x),x1 + x2,x**3,6680.60595703125,0.10000000149011612
6,log(abs(x + err)) + (1/(1 + exp(-x))),log(abs(x + err)),x1 + x2,(1/(1 + exp(-x))),nan,0.10000000149011612
6,(1/(1 + exp(-x))) / (sinh(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),sinh(x),nan,0.10000000149011612
6,"max((1/(1 + exp(-x))), x**3)",(1/(1 + exp(-x))),"max(x1, x2)",x**3,nan,0.10000000149011612
6,"min(x, x**2)",x,"min(x1, x2)",x**2,0.9664656519889832,0.6629999876022339
6,sinh(x) + exp(x),sinh(x),x1 + x2,exp(x),nan,0.10000000149011612
6,(1/(1 + exp(-x))) - 0,(1/(1 + exp(-x))),x1 - x2,0,0.856062114238739,0.7006000280380249
